i,j,sim,split_i,split_j,label_i,label_j,text_i,text_j
26399,26444,1.0000,train,train,CG,CG,"I received this story as an ARC in exchange for an honest review. The first book in the series was the prequel, ""A Moon Cracker,"" which was written by Holly Crane. I loved the characters, the story, and the plot. I enjoyed the story immensely. I was especially drawn to the heroine and her family.","I received this story as an ARC in exchange for an honest review. The first book in the series was the prequel, ""A Moon Cracker,"" which was written by Holly Crane. I loved the characters, the story, and the plot. I enjoyed the story immensely. I was especially drawn to the heroine and her family."
26400,26448,1.0000,train,train,CG,CG,This is the second in a series and the first in the series by Stephanie Scott. I just can't get enough of her books. I can't wait to read the next one. The story is well written and the characters are well developed. I highly recommend this book. Great series with great characters. I liked the chara,This is the second in a series and the first in the series by Stephanie Scott. I just can't get enough of her books. I can't wait to read the next one. The story is well written and the characters are well developed. I highly recommend this book. Great series with great characters. I liked the chara
27113,27141,1.0000,train,val,CG,CG,This is one of the best books I've read in a long time.  I can't wait for the next one!I liked this book but the writing was a bit slow. The story was a little rushed.  I would have liked to see more of the characters in the book.  I could have read the book in one sitting but the writing was a litt,This is one of the best books I've read in a long time. I can't wait for the next one!I liked this book but the writing was a bit slow. The story was a little rushed. I would have liked to see more of the characters in the book. I could have read the book in one sitting but the writing was a little 
28516,29203,1.0000,train,train,CG,CG,I really enjoyed this book.  The characters were well developed and the plot was well written. ,I really enjoyed this book. The characters were well developed and the plot was well written.
28728,29345,1.0000,train,test,CG,CG,I was disappointed in this book.  It was a good read.  The characters were well developed,I was disappointed in this book. It was a good read. The characters were well developed.
33112,33415,1.0000,train,train,CG,CG,My 19 month old son loves it and the materials are good.  He loves the way he can,My 19 month old son loves it and the materials are good.  He loves the way he can
33208,33602,1.0000,train,train,CG,CG,I got this for my son for Christmas.  He loved it.  He loves to play with,I got this for my son for Christmas.  He loved it.  He loves to play with
34136,34193,1.0000,train,train,CG,CG,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often. 
34206,34314,1.0000,test,train,CG,CG,I got this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often. ,I got this for my son for Christmas. He loved it. He loves to play with it and plays with it often.
34512,34589,1.0000,train,train,CG,CG,"I bought this for a kid who was into science. He loves science and loves the figures he builds.  The concept is simple, but it is fun and educational.","I bought this for a kid who was into science. He loves science and loves the figures he builds. The concept is simple, but it is fun and educational."
34788,34795,1.0000,train,train,CG,CG,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the car and,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the car and
34797,34921,1.0000,train,train,CG,CG,I bought this as a gift for my son's third birthday.  He loves the music and the lights.  He is very happy with this toy.I bought this for my daughter's birthday party.,I bought this as a gift for my son's third birthday. He loves the music and the lights. He is very happy with this toy. I bought this for my daughter's birthday party.
35075,35166,1.0000,train,train,CG,CG,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the house and it's great for him to keep on his car,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the house and it's great for him to keep on his car.
35654,35699,1.0000,train,test,CG,CG,"<div id=""video-block-RXTG4BW95T1MW"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1oEpS7W6S.","<div id=""video-block-R2XZJHMRFI01L5"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1oEpS7W6S."
36472,36534,1.0000,val,train,CG,CG,"<div id=""video-block-RNPDFJZRETJLX"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/B1o4pS7W6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazo","<div id=""video-block-R13NRMAER1K3U8"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1oEpS7W6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
36508,36534,1.0000,train,train,CG,CG,"<div id=""video-block-R28F4M41UIB1DN"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1oEpS7W6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz","<div id=""video-block-R13NRMAER1K3U8"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1oEpS7W6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
36534,36568,1.0000,train,train,CG,CG,"<div id=""video-block-R13NRMAER1K3U8"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1oEpS7W6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz","<div id=""video-block-RSDK4AXMN726M"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/A1oEpS7W6S. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazo"
36702,37221,1.0000,train,test,CG,CG,These are very comfortable.  They have the wide width which is perfect.  They are warm and,These are very comfortable.  They have the wide width which is perfect.  They are warm and
37296,37543,1.0000,train,train,CG,CG,I bought this for a Halloween costume and it was just what I wanted! It's a pretty dress,I bought this for a Halloween costume and it was just what I wanted! It's a pretty dress
38801,38808,1.0000,train,train,CG,CG,"I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D, and the 36D fits me perfectly.","I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D, and the 36D fits me perfectly."
143,725,1.0000,train,train,CG,CG,Easy to put together and looks nice and the finish is good.  I have a large one and,Easy to put together and looks nice and the finish is good.  I have a large one and
27232,27233,1.0000,train,val,CG,CG,"This is the first book in a series by the author I have read that I have been following.

I had a lot of fun with this book and I am definitely looking forward to reading the next one.

I received this book for free in exchange for an honest review.I was looking forward to reading the book, but the ","This is the first book in a series by the author I have read that I have been following.

I had a lot of fun with this book and I am definitely looking forward to reading the next one.

I received this book for free in exchange for an honest review.I was looking forward to reading the book, but the "
3870,4010,1.0000,test,train,CG,CG,"<div id=""video-block-R1IX1I14US2DT0"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.com/images/I/B9o4pS7U6I.mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na.ssl-images-amazon.c","<div id=""video-block-R35RA3JRQQJM8N"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amazon. com/images/I/B9o4pS7U6I. mp4"" class=""video-url""><input type=""hidden"" name="""" value=""https://images-na. ssl-images-amaz"
19638,19802,1.0000,train,train,CG,CG,My dog loves these and it has kept her occupied for a long time.  She does not chase,My dog loves these and it has kept her occupied for a long time.  She does not chase
26582,26603,1.0000,test,train,CG,CG,This is the story of a young girl with a history of being a killer. She is one of the few survivors. The story moves at a steady pace and the characters are strong and interesting. The author does a great job of making the characters believable. This is a great series for young people.I loved this b,This is the story of a young girl with a history of being a killer. She is one of the few survivors. The story moves at a steady pace and the characters are strong and interesting. The author does a great job of making the characters believable. This is a great series for young people.I loved this b
28044,28064,0.9999,train,train,CG,CG,"I received a copy of this book in exchange for an honest review.

The first book in the series, the Bride of the Bride, is the first of the three in the series. It is told from the perspective of a young woman. This book is a great introduction to the story. It is a quick read and will make you feel","I received a copy of this book in exchange for an honest review. The first book in the series, the Bride of the Bride, is the first of the three in the series. It is told from the perspective of a young woman. This book is a great introduction to the story. It is a quick read and will make you feel "
34749,34795,0.9997,test,train,CG,CG,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the car,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the car and
34463,34515,0.9992,val,val,CG,CG,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to
27922,27950,0.9985,train,train,CG,CG,"I have been waiting for this book and am very excited for it. This is the first book in a series and the first I have read by this author. This book is packed full of action, suspense and romance. I was given an ARC in exchange for an honest review. I was looking forward to reading the book, but the","I have been waiting for this book and am very excited for it. This is the first book in a series and the first I have read by this author. This book is packed full of action, suspense and romance.

I was given an ARC in exchange for an honest review.I was looking forward to reading the book, but the"
38307,38451,0.9984,train,train,CG,CG,I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D,"I bought these for my daughter. She loves them. I will keep them for the baby and we will be buying more! I am a 32D, and the"
13759,13902,0.9975,train,val,CG,CG,"I agree with the other reviewers here, the movie is pretty good. The acting is pretty good. The story is pretty good. The acting is pretty good. The movie is pretty good.","I agree with the other reviewers here, the movie is pretty good.  The acting is pretty good.  The story is pretty good.  The acting is pretty good.  The movie is pretty good.  The acting is pretty good. "
27253,27301,0.9967,train,train,CG,CG,This is my first book by this author and I hope I will continue to read the other books.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would like to read more from this author.It was a good book and a good read. I will read more by th,This is my first read by this author and I hope I will continue to read the other books. I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would like to read more from this author. It was a good book and a good read. I will read more by 
27870,27887,0.9964,train,train,CG,CG,"I received a copy of this book in exchange for an honest review.

The first book in the series, the Bride of the Bride, is the first of the three in the series. It is told from the perspective of a young woman. This book is a great introduction to the story. It is a quick read and will make you feel","I received a copy of this book in exchange for an honest review.

The first book in the series, the Bride of the Bride, is the first of the three in the series. It is told from the perspective of a young woman. This book is a great introduction to the story. It is a quick read and will make you feel"
27853,27874,0.9961,train,train,CG,CG,"I loved this book. I loved the characters. I loved the history. I loved the way the author portrayed the characters. The story was believable and the characters were likable. I enjoyed this book. I look forward to reading more from this author. This was an excellent read. The characters were strong,","I loved this book. I loved the characters. I loved the history. I loved the way the author portrayed the characters. The story was believable and the characters were likable. I enjoyed this book. I look forward to reading more from this author.This was an excellent read. The characters were strong, "
26222,26331,0.9956,train,train,CG,CG,I am SO glad I read this book. It is a great book for a beginner to start.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book.I really enjoyed this book. The first book was a great read,I am glad that I read this book. It is a great book for a beginner to start. I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would highly recommend this book. I really enjoyed this book. The first book was a great read.
26742,26814,0.9946,train,train,CG,CG,I really enjoyed reading this book. The characters were well developed and the story flowed well. The writing is well done and the story flows smoothly. The characters are well developed and the story is well developed. The story line is well written and the characters are well developed. I would de,I really enjoyed reading this book. The characters were well developed and the story flowed well. The writing is well done and the story flows smoothly. The characters are well developed and the story is well developed. The story line is well written and the characters are well developed. I would de
6327,6492,0.9939,train,train,CG,CG,"I bought this for my son to wear as a Christmas present.  He loves the way he can get a grip on the gun, and the clear plastic coating protects the gun from scratches.  It is great for him to have a clean gun","I bought this for my son to wear as a Christmas present.  He loves the way he can get a grip on the gun, and the clear plastic coating protects the gun from scratches.  It is great for him to have a clean gun.I bought this for my"
9223,9327,0.9938,train,train,CG,CG,"Exactly what I was looking for. The quality is good but it's not really the best one.I bought this for a friend, and","Exactly what I was looking for. The quality is good but it's not really the best one.I bought this for a friend, and he is"
31419,31455,0.9914,test,train,CG,CG,"This is one of the better ones I've read in a long time, and I'm just glad I read it. The story is a bit different than most, but it's still a good read. It's not a long book, and it's not worth the money. I loved this book. I have read the entire series, and I have not read the last one. I love the","This is one of the better ones I've read in a long time, and I'm just glad I read it. The story is a bit different than most, but it's still a good read. It's not a long book, and it's not worth the money.I loved this book. I have read the entire series, and I have not read the last one. I love the "
23730,24143,0.9911,train,train,CG,CG,It is a very good book. The characters are well developed and the story is well told.,This is a very good book. The characters are well developed and the story is well told.
39878,39895,0.9894,train,train,CG,CG,I bought this for my daughter. She loves it. It is very cute and the material is very soft. I had to get a size down but the waist is a perfect length. The color is beautiful and the material is very thin. I wish it was a bit thicker. The material is a bit stretchy but the length is good. The materi,I got this for my daughter. She loves it. It is very cute and the material is very soft. I had to get a size down but the waist is a perfect length. The color is beautiful and the material is very thin. I wish it was a bit thicker. The material is a bit stretchy but the length is good. The material 
34198,34304,0.9886,train,train,CG,CG,My 5 year old loves this toy and the materials are good. My 2 year old has a lot of fun with it.,my 4 year old loves this toy and the materials are good. My 2 year old has a lot of fun with it.
12068,12392,0.9878,train,train,CG,CG,"This was a good movie, but the plot was just too long.

The movie has a","It was a good movie, but the plot was just too long.

The movie has a"
34549,34721,0.9872,val,train,CG,CG,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take,I bought this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the
27332,27358,0.9870,train,train,CG,CG,This was a very interesting book. The characters were well developed and kept my interest. I recommend this book.I had a lot of fun with this book. It was a very interesting read. It had a great story line and a good ending. This book is a great series for young people.I loved this book!  I can't wa,This was a really great book. The characters were well developed and kept my interest. I recommend this book.I had a lot of fun with this book. It was a very interesting read. It had a great story line and a good ending. This book is a great series for young people.I loved this book!  I can't wait t
11532,11571,0.9865,train,train,CG,CG,"I bought this for my daughter to use with her iPad 2. She loves it!Very nice.I bought this for a friend, and she loves it.  She is very happy with it.  It is a good value, and it is going to be a great purchase for the money.  I have a few of them in the house and they are very strong.  They are ver","I bought this for my daughter to use with her iPad 2. She loves it!Very nice.I bought this for a friend, and she loves it.  She is very happy with it.  It is a good value, and it is going to be a great purchase for the money.  I have a few of them in the house and they are very strong.  They are ver"
25942,26002,0.9852,train,train,CG,CG,I absolutely loved this book!  I couldn't put it down until I finished it!  This is a great book that I am sure will be in the future.This is a great book to read.  It will give you a good idea of what you will,I absolutely loved this book!  I couldn't put it down until I finished it!  This is a great book that I am sure will be in the future.This is a great book to read.  It will give you a good idea of what you will need to
26665,26830,0.9848,train,train,CG,CG,"This was a fun book, a little predictable, and I enjoyed it. The characters were well developed and well developed. The story line was good and the flow was good. I would definitely recommend this book to anyone who enjoys a good romance.This is a good story. The characters are well developed. The s","This was a fun book, a little predictable, and I enjoyed it. The characters were well developed and well developed. The story line was good and the flow was good. I would definitely recommend this book to anyone who enjoys a good romance.This is a good story. The characters are well developed. The s"
33939,34198,0.9845,train,train,CG,CG,My 1 year old loves this toy and the materials are good.  My 2 year old has a lot of fun with,My 5 year old loves this toy and the materials are good. My 2 year old has a lot of fun with it.
19742,19803,0.9845,train,train,CG,CG,My dog loves them and it has kept her occupied for a long time.  She does not chase,My dog loves it and it has kept her occupied for a long time.  She does not chase
403,809,0.9844,train,train,CG,CG,I bought this as a gift for my daughter and she loved it.  It's been a great,We bought this as a gift for my daughter and she loved it.  It's been a great
24965,25348,0.9838,train,test,CG,CG,Read the book in one sitting. The characters are well developed and the story is well told. The story is well-written. The characters are well-developed,Read this book in one sitting. The characters are well developed and the story is well told. The story is well-written. The characters are well-developed and the story is well-written
10826,11023,0.9823,train,val,CG,CG,"This does a great job of keeping the cell phone in place.  If you have a larger cell phone, you may want to look at the video or if you have a larger cell phone, it is still possible to get a better picture.  This camera is excellent.

I love it.  I love the fact that I can use the auto focus featur","This does a great job of keeping the cell phone in place.  If you have a larger cell phone, you may want to look at the video or if you have a larger cell phone, it is still possible to get a better picture.  This camera is excellent.

I love it.  I love the fact that I can use the auto focus featur"
25195,25240,0.9820,test,train,CG,CG,I have read all the books in the series and I loved them. This is the first one I have read by this author. I am so glad I did.,I have read all the books in the series and I loved them. This is the first one I have read by this author. I am so glad I did.This is a great
11486,11529,0.9815,val,val,CG,CG,"I bought this for a few reasons, 1) it is a nice piece of equipment, and 2) it works very well.

Pros:
-Highly adjustable angle
-The angle is adjustable and adjusts to your head.
-This lens is excellent.
-It is a bit smaller than I expected it to be.
-It is a little heavier than I expected.
-It has ","I bought this for a few reasons, 1) it is a nice piece of equipment, and 2) it works very well. Pros:
-Highly adjustable angle
-The angle is adjustable and adjusts to your head. -This lens is excellent. -It is a bit smaller than I expected it to be. -It is a little heavier than I expected. -It has a"
35723,35770,0.9799,train,train,CG,CG,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the house and it's great for him to keep on his car. This is a great toy for him and he loves to play with it. He can also use it on his carpeted floor.,I purchased this for my son's 3rd birthday. He loves it! He loves to throw it around and it seems to be a great size for him. He can take it around the house and it's great for him to keep on his car. This is a great toy for him and he loves to play with it. He can also use it on his carpeted floor.
28685,28757,0.9779,train,train,CG,CG,Got this book for my daughter.  She loves it.  She also loves the photos and the,I got this for my daughter.  She loves it.  She also loves the photos and the
14596,15056,0.9769,test,train,CG,CG,This is really a great movie. The story is very good and the characters are very believable. The acting is top notch and the story is very interesting. The acting is great and the movie is very well done. The acting is a bit predictable but the movie is still fun. The acting is a bit predictable but,This is a great little film. The story is very good and the characters are very believable. The acting is top notch and the story is very interesting. The acting is great and the movie is very well done. The acting is a bit predictable but the movie is still fun. The acting is a bit predictable but 
28731,29292,0.9757,train,train,CG,CG,This is a fantastic book that will make you feel like you are in the middle of a battle.,This is a fantastic book that will make you feel like you are in the middle of a battle.I read this book
22968,22995,0.9752,train,train,CG,CG,I purchased this for my dog.  It's a good size and my dog loves it.  It's not the best for a small dog but the dog loves it.  I'm sure it would be great for a large dog.My dog loves these treats.  The only thing I don't like is the consistency of the treats.  I don't think they're supposed to be jus,I bought this for my dog.  It's a good size and my dog loves it.  It's not the best for a small dog but the dog loves it.  I'm sure it would be great for a large dog.My dog loves these treats.  The only thing I don't like is the consistency of the treats.  I don't think they're supposed to be just a
10830,10908,0.9749,test,val,CG,CG,"I have several of these and have had no issues. I will keep my review in order to share my experiences.  The only thing I can say is that if you are looking for a quality speaker, look no further.  This is one of the best speaker cables you can find.  I highly recommend this cable to anyone who want","I have several of these and have had no issues. I will keep my review in order to share my experiences.  The only thing I can say is that if you are looking for a quality speaker, look no further.  This is one of the best speaker cables you can find.  I highly recommend this cable to anyone who want"
28842,29182,0.9746,train,train,CG,CG,"This was the best book I have read by a third-time author, and I am just starting","This is the best book I have read by a third-time author, and I am just starting to read it"
25907,26326,0.9744,val,train,CG,CG,This is my first book by this author and I hope I will continue to read the other books.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would like to read more from this author.,This is my first book by this author and I hope I will continue to read the other books.I read this book in the last few days and have enjoyed it. The characters are well written and well developed. I would like to read more from this author.It was a good book and a good read. I will read more
34723,35009,0.9743,train,train,CG,CG,"Bought this for my 4 year old granddaughter. She loves it. She also loves the music and the colors. Great for the kids, too. My daughter is 4 and it is pretty easy","Bought this for my 3 year old granddaughter. She loves it. She also loves the music and the colors. Great for the kids, too. My daughter is 4 and it is pretty easy to set up and use."
31323,31513,0.9739,train,test,CG,CG,"I was introduced to this book by the author, and I will admit that I was a bit disappointed.  I had to read a few chapters to get through the first two, and that was a huge disappointment.  The first half of the book dealt with the two characters in question, and it was pretty clear that the book ha","I was introduced to this book by the author, and I will admit that I was a bit disappointed. I had to read a few chapters to get through the first two, and that was a huge disappointment. The first half of the book dealt with the two characters in question, and it was pretty clear that the book had "
35949,36072,0.9738,test,val,CG,CG,I got this for my son for Christmas. He loved it. He loves to play with it and plays with it often. He is 3 and loves to take it out of the car and put it in the trunk. He loves it and is still having fun with it. It is a great toy and I would recommend it to any child who is interested in learning ,I got this for my son for Christmas.  He loved it.  He loves to play with it and plays with it often.  He is 3 and loves to take it out of the car and put it in the trunk.  He loves it and is still having fun with it.  It is a great toy and I would recommend it to any child who is interested in lear
39519,39576,0.9733,train,train,CG,CG,"I bought this ring to go with my birthday gift. I will be purchasing a second one in different colors. Great price! I am a 32D, and the first ring I received was a 32D. It was a little big on me. I was worried it would be too small for my 2 year old, but it is a perfect size and it","I bought this ring to go with my birthday gift. I will be purchasing a second one in different colors. Great price! I am a 32D, and the first ring I received was a 32D. It was a little big on me. I was worried it would be too small for my 2 year old, but it is a perfect size and it fits perfectly."
