category,rating,label,text_,gen_model
Kindle_Store_5,4.0,CG,"The book provided clear insights but lacked engaging storytelling to keep readers invested. Overall, a solid read for those seeking concise non-fiction information.",lfm2.5-350m
Sports_and_Outdoors_5,5.0,CG,"This mat feels responsive and comfortable, ideal for yoga and stretching sessions. It’s lightweight and easy to set up in any space. Highly recommend!",lfm2.5-350m
Pet_Supplies_5,1.0,CG,This cat toy is small and doesn't work well. Very cheap.,lfm2.5-350m
Kindle_Store_5,5.0,CG,Loved the engaging research and clear explanations—perfect for anyone interested in non-fiction books.,lfm2.5-350m
Books_5,4.0,CG,"Great read, but the author didn't fill in the gaps—would love more details about historical events.",lfm2.5-350m
Electronics_5,5.0,CG,Perfect cable! Affordable and durable. Works flawlessly with my setup.,lfm2.5-350m
Pet_Supplies_5,5.0,CG,Love the water clarity and filtration! It’s super effective for my fish but needs regular maintenance.,lfm2.5-350m
Pet_Supplies_5,4.0,CG,"This pet bed is affordable and comfortable, but the padding feels soft and tight—could use a firmer base.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,Love this sleek black design! Stunning contrast against my outfit. High-quality craftsmanship with perfect fit.,lfm2.5-350m
Kindle_Store_5,2.0,CG,"The story was engaging but the pacing felt uneven, and main characters lacked depth. Would recommend if you enjoy a good mystery with some twists.",lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,Perfectly brewed coffee every time—cushioned handle and great temperature control.,lfm2.5-350m
Pet_Supplies_5,5.0,CG,Love this brush! It’s super soft and really helps keep my dog clean. Highly recommend!,lfm2.5-350m
Tools_and_Home_Improvement_5,4.0,CG,"One-year used tape measure bought with regret—accuracy exceeded expectations, but price tag felt steep.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,The jacket was in great condition but the fit was too loose. Would recommend for everyday wear.,lfm2.5-350m
Electronics_5,5.0,CG,Great value! Sleek design and reliable performance. Perfect for streaming. Highly recommend!,lfm2.5-350m
Movies_and_TV_5,5.0,CG,"Great film with fantastic performances and a stellar cast. The story was engaging, and the ending was unforgettable. Highly recommended!",lfm2.5-350m
Kindle_Store_5,5.0,CG,"Perfectly written romance—starry skies, perfect pacing, and characters that stayed with me long after I finished.",lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,"This screw is sturdy, easy to install, and holds fast—perfect for any project! 🛠️💪",lfm2.5-350m
Books_5,5.0,CG,Loved the clear narrative and well-researched background on the historical figure. Highly recommend!,lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,Love these screws! They fit exactly where needed and hold strong when used. Highly recommend!,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Love this jacket! Comfortable, sleek, and fits perfectly. Highly recommend!",lfm2.5-350m
Movies_and_TV_5,5.0,CG,"This film was a faithful retelling of a beloved story, capturing its heart and charm with perfect performances. Highly recommend!",lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,"Love this cutting board—it’s sturdy, easy to clean, and fits my kitchen table perfectly! Highly recommend.",lfm2.5-350m
Sports_and_Outdoors_5,5.0,CG,"The pump was reliable, fast, and comfortable to use—perfect for weekend rides. Highly recommend!",lfm2.5-350m
Home_and_Kitchen_5,1.0,CG,"Bought basics; functioned fine, but UI was clunky and settings unclear. Wouldn’t recommend unless you’re serious about the app.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Love this lightweight, breathable jacket—perfect for spring! It's comfortable and stylish, but I haven't worn it in over a month. Highly recommend!",lfm2.5-350m
Pet_Supplies_5,3.0,CG,Not worth the money—solid but underwhelming.,lfm2.5-350m
Sports_and_Outdoors_5,3.0,CG,Not worth the investment—still works but lacks weight and quality.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,This sleek necklace looks amazing and fits perfectly—great for any occasion!,lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,The set is a solid choice with excellent storage solutions and handles food well. Highly recommend for serious cooks!,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"This pair of jeans was comfortable, stylish, and fit well—perfect for everyday wear. Highly recommend!",lfm2.5-350m
Toys_and_Games_5,3.0,CG,"The puzzles were fun, but the pieces felt worn and didn’t fit together easily. Would recommend for casual play, but not for serious challenges.",lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,"Love Blender! User-friendly interface, smooth performance, and great for both home cooking and baking. Highly recommended for beginners and professionals alike.",lfm2.5-350m
Pet_Supplies_5,5.0,CG,The plush cat toy made my cat feel cozy and happy instantly. Perfect for relaxation during long stretches of screen time.,lfm2.5-350m
Sports_and_Outdoors_5,5.0,CG,"Love this mat! Made at home, it’s soft and comfortable, perfect for practicing. Highly recommend!",lfm2.5-350m
Toys_and_Games_5,5.0,CG,"The game was fun to play, had clear rules, and ended with a great outcome—perfect for kids!",lfm2.5-350m
Toys_and_Games_5,4.0,CG,"Noted but basic action – game was easy to play, mostly fun, didn’t add much strategic depth.",lfm2.5-350m
Movies_and_TV_5,4.0,CG,"The story was engaging but the pacing felt slow. Budget-friendly and visually appealing, but missing some key moments.",lfm2.5-350m
Electronics_5,1.0,CG,"This power bank is a solid choice for travel, but charging it too often drains battery quickly. It’s not the best for heavy users.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,"The watch is stylish but feels a bit stiff during long walks. Perfection for casual wear, but lacks durability.",lfm2.5-350m
Toys_and_Games_5,5.0,CG,"Love this game! The mechanics are easy to understand, and it’s a hit with kids. Highly recommend for family play.",lfm2.5-350m
Pet_Supplies_5,5.0,CG,"The cat toy is soft, durable, and easy to clean—perfect for my little pomeranian who loves climbing and chasing! ❤️",lfm2.5-350m
Movies_and_TV_5,5.0,CG,"Perfectly preserved, the film was breathtaking from start to finish!",lfm2.5-350m
Sports_and_Outdoors_5,5.0,CG,Got a new sports backpack! Loved the storage capacity and comfort. Highly recommend!,lfm2.5-350m
Tools_and_Home_Improvement_5,4.0,CG,"The drill was affordable and straightforward to use, but its battery life was limited during extended projects.",lfm2.5-350m
Movies_and_TV_5,4.0,CG,"Great purchase! The show was entertaining and well-executed, though the plot felt a bit predictable.",lfm2.5-350m
Electronics_5,3.0,CG,"This speaker is decent but lacks battery life and charging support. It works well for listening, but needs a charger.",lfm2.5-350m
Electronics_5,2.0,CG,"The battery lasts longer than expected, but the charging time feels slower than promised. Overall, decent performance for its price.",lfm2.5-350m
Pet_Supplies_5,1.0,CG,I bought dog food but it was dry and tasted flat. Wouldn't recommend unless I need a casserole tonight.,lfm2.5-350m
Books_5,3.0,CG,"The recipes were easy to follow, but the ingredients were hard to find in most areas. Would recommend for budget-friendly cooking, but check availability first.",lfm2.5-350m
Home_and_Kitchen_5,4.0,CG,"Great for basic tasks, but lacks advanced features. Worth the price for simplicity.",lfm2.5-350m
Tools_and_Home_Improvement_5,4.0,CG,Bought a decent roller—sturdy but worn out by use. Will need replacement soon.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,I bought the running shoes but felt uncomfortable during a workout. They were decent but not ideal for most activities.,lfm2.5-350m
Books_5,5.0,CG,Deeply gripping thriller with tight plot and unexpected twists—perfect for adrenaline seekers!,lfm2.5-350m
Movies_and_TV_5,5.0,CG,"The show is stunning, packed with great characters and plots—perfect for fans of classic dramas. Highly recommended!",lfm2.5-350m
Toys_and_Games_5,5.0,CG,"This action figure was a joy—perfectly sized, detailed, and packed with charm! Highly recommend for any collector or fan.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Love this jacket—perfect for layering! Stylish and comfortable, it’s a solid choice. Highly recommend!",lfm2.5-350m
Pet_Supplies_5,3.0,CG,"The treats were tasty and crumbly, but they lacked protein content—worth checking out if you want a quick snack for your pet!",lfm2.5-350m
Sports_and_Outdoors_5,3.0,CG,Not worth the investment; durability issues keep up after months of heavy use.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,Love this dress—it flows perfectly and catches my eye! Highly recommend.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"This jacket is chic, comfortable, and fits perfectly—ideal for any day!",lfm2.5-350m
Pet_Supplies_5,5.0,CG,"This bed is comfortable and has good memory foam, making it perfect for my dog's sleep. Highly recommend!",lfm2.5-350m
Kindle_Store_5,1.0,CG,I bought a non-fiction eBook on climate change but it was poorly written and lacked context. Not recommended.,lfm2.5-350m
Kindle_Store_5,5.0,CG,Love this book—it’s engaging and packed with amazing world-building. Highly recommend! 📚✨,lfm2.5-350m
Sports_and_Outdoors_5,5.0,CG,Great tent for hiking—sleeps well in a backpack! Excellent insulation and durable materials. Highly recommend.,lfm2.5-350m
Books_5,5.0,CG,"The book was well-researched and packed with ideas, making it easy to follow. Highly recommend for anyone looking to expand their cooking skills!",lfm2.5-350m
Movies_and_TV_5,4.0,CG,"Great film, but the pacing felt slow. A classic, but not worth it.",lfm2.5-350m
Toys_and_Games_5,5.0,CG,"The figure is vibrant, detailed, and easy to collect—perfect for any kid! Highly recommended.",lfm2.5-350m
Sports_and_Outdoors_5,3.0,CG,This mat is solid but lacks firmness; it works well for beginners but isn't durable enough for frequent use.,lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,Absolutely loved! The Blender is a fantastic tool for cooking tutorials and home projects. Highly recommend for any DIY enthusiast.,lfm2.5-350m
Pet_Supplies_5,4.0,CG,"The food was flavorful and well-tolerated, but the packaging wasn't sturdy enough for long trips. Overall, a decent purchase.",lfm2.5-350m
Books_5,4.0,CG,"The story is engaging and relatable for young readers. The characters are well-developed and easy to follow. Overall, a hit with kids!",lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,"Love this new ceramic saucepan—it’s heat-resistant up to boiling point, stays cool during cooking, and feels super smooth. Highly recommended for any meal prep!",lfm2.5-350m
Kindle_Store_5,5.0,CG,"This book is a treasure! The insights were clear and well-structured, making it easy to digest even with more time. Highly recommend for anyone looking to deepen their knowledge.",lfm2.5-350m
Kindle_Store_5,4.0,CG,The mystery novel was engaging but poorly written and had no actionable plot twists.,lfm2.5-350m
Electronics_5,4.0,CG,"A decent option for HDMI cables, but fast delivery and quality was a bit spotty.",lfm2.5-350m
Toys_and_Games_5,1.0,CG,This figure looks great but the texture feels rough—didn't hold up after 2 days.,lfm2.5-350m
Books_5,5.0,CG,"Love this cookbook! The recipes were easy to follow, and the ingredient list was clear. Highly recommend!",lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,The tape measure has a clear display and accurate measurements—perfect for DIY projects! Highly recommend for anyone needing precision.,lfm2.5-350m
Toys_and_Games_5,4.0,CG,"This soft plush felt great, but it was a bit worn out. Would recommend for a quiet evening.",lfm2.5-350m
Books_5,5.0,CG,"The book was beautifully illustrated, packed with easy-to-follow recipes, and the author provided helpful tips. Highly recommend for all cooking enthusiasts!",lfm2.5-350m
Kindle_Store_5,5.0,CG,"Glad to share my love for short stories! The writing is clear, the plot flows smoothly, and the characters feel real—perfect for a quick read. Highly recommend!",lfm2.5-350m
Pet_Supplies_5,4.0,CG,This brush is affordable and holds fine claws well. Just needs a quick rinse before use.,lfm2.5-350m
Pet_Supplies_5,3.0,CG,This leash was affordable but felt stiff and uncomfortable for my dog during walks. Needed a change soon.,lfm2.5-350m
Pet_Supplies_5,4.0,CG,"The filter was effective, but the water clarity was slightly dull. Would recommend if you're new to aquariums.",lfm2.5-350m
Sports_and_Outdoors_5,5.0,CG,"This backpack is lightweight yet sturdy, perfect for hiking and outdoor activities. It stayed dry and comfortable all day long.",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Love these stylish jeans—comfortable, fit well, and sleek. Perfect for all-day wear!",lfm2.5-350m
Books_5,5.0,CG,"The book was engaging, well-researched, and made me feel like I was right there with the characters! Highly recommended.",lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,"The drill was powerful and precise, handling tight spaces easily. It made my project quick and efficient without breaking a sweat. Highly recommended for DIY enthusiasts!",lfm2.5-350m
Toys_and_Games_5,5.0,CG,This plush toy is absolutely stunning! It feels soft and comfy inside with its plush texture and looks like it's made of real fabric. Highly recommend for cozy evenings!,lfm2.5-350m
Books_5,4.0,CG,The story was easy to follow and the characters were lovable. Highly recommended for kids!,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"Love this jacket—it’s breathable, fits well, and feels stylish! Highly recommend.",lfm2.5-350m
Tools_and_Home_Improvement_5,4.0,CG,The ladder is sturdy but lacks a locking mechanism—just need to buy a new one soon.,lfm2.5-350m
Home_and_Kitchen_5,2.0,CG,"Made a decent video, but the resolution was low and some parts ran slow. Overall okay, not great.",lfm2.5-350m
Sports_and_Outdoors_5,5.0,CG,"The tent was comfortable and weather-resistant, with a clear view of the surrounding landscape. Highly recommend for any outdoor adventure!",lfm2.5-350m
Toys_and_Games_5,5.0,CG,This puzzle was easy to solve and brought hours of fun back! Highly recommend for kids and adults alike.,lfm2.5-350m
Movies_and_TV_5,5.0,CG,"Loved the whole series—every episode was perfect, from the opening scene to the finale! Highly recommended for a great viewing experience.",lfm2.5-350m
Books_5,4.0,CG,"This book was well-written and stayed in my head—perfectly paced, with strong characters. I’d recommend it to anyone looking for an engaging read.",lfm2.5-350m
Kindle_Store_5,5.0,CG,"Love this book! Perfectly read, engaging and emotional. Highly recommend for readers.",lfm2.5-350m
Home_and_Kitchen_5,2.0,CG,A decent vacuum with some dust buildup after 2 uses; good for cleaning but needs more maintenance.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,"The fit was perfect, though the straps felt a bit thin. Overall a solid purchase.",lfm2.5-350m
Toys_and_Games_5,1.0,CG,"This plush was too small and lacked details—perfect for a baby, but not worth the price.",lfm2.5-350m
Pet_Supplies_5,1.0,CG,I bought a grooming brush but it felt dull and the bristles were stiff. Wouldn't recommend.,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,"The design is sleek, comfortable, and fits well—perfect for any day. Highly recommend!",lfm2.5-350m
Tools_and_Home_Improvement_5,4.0,CG,"This LED bulb is bright and lasts longer than expected, but the screen sometimes flickers. Overall, it’s a solid purchase.",lfm2.5-350m
Books_5,5.0,CG,Loved the engaging storyline and clear historical context—perfect for anyone wanting to learn about the period without getting lost. Highly recommended!,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,"The jacket was comfortable and stylish, but the price felt high for what I got.",lfm2.5-350m
Books_5,4.0,CG,Love this book! The recipes are easy to follow and the ingredients were spot on. Highly recommend.,lfm2.5-350m
Electronics_5,4.0,CG,The cable arrived in perfect condition but felt slightly crumpled upon delivery. Still works well for basic connections but lacks durability.,lfm2.5-350m
Toys_and_Games_5,5.0,CG,"The set is bright, durable, and easy to assemble—perfect for kids! Highly recommended for ages 5+.",lfm2.5-350m
Books_5,5.0,CG,Love this book! The recipes are easy to follow and the details are thorough—perfect for busy cooks. Highly recommend!,lfm2.5-350m
Movies_and_TV_5,4.0,CG,"The animation was stunning but the pacing felt uneven—great for visuals, but the story kept me slightly bored. Overall, a solid pick.",lfm2.5-350m
Books_5,5.0,CG,This self-help book was a lifesaver! The structure and practical tips made it easy to apply immediately. Highly recommended for anyone seeking clarity.,lfm2.5-350m
Movies_and_TV_5,5.0,CG,"This documentary was breathtakingly insightful, offering a fresh perspective on its subject matter with stunning visuals and engaging storytelling. Highly recommended for anyone interested in diverse viewpoints!",lfm2.5-350m
Toys_and_Games_5,5.0,CG,"Perfectly controls, easy to use and surprisingly fun!",lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,4.0,CG,"The running shoes were comfortable but worn out quickly, missing my favorite brand.",lfm2.5-350m
Toys_and_Games_5,5.0,CG,Loved the vibrant colors and detailed figures—perfect for imaginining adventures!,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,Love these jeans—comfortable yet polished! Perfect fit and stylish.,lfm2.5-350m
Movies_and_TV_5,4.0,CG,The film was decent but had uneven pacing and minor CGI issues. Great for a casual night out.,lfm2.5-350m
Movies_and_TV_5,3.0,CG,"The documentary was engaging but the pacing felt slow, missing key moments. Overall, worth watching if you enjoy storytelling with depth.",lfm2.5-350m
Pet_Supplies_5,2.0,CG,The leash arrived in good condition but lacked adequate padding. I needed it for a dog with sensitive legs and hoped for better protection.,lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,Glad to have found these screwdriver set for my home projects! They held tight and were easy to use. Highly recommend for beginners and professionals alike.,lfm2.5-350m
Kindle_Store_5,5.0,CG,Loved the engaging narrative and perfect readability—worth a copy!,lfm2.5-350m
Electronics_5,1.0,CG,Not worth the price — charger works fine but battery life is too short.,lfm2.5-350m
Electronics_5,4.0,CG,The webcam quality is decent but lacks battery life and app support. Worth it for basic needs.,lfm2.5-350m
Kindle_Store_5,5.0,CG,Love every page! Beautiful storytelling and charming characters made it perfect for a cozy read. Highly recommended!,lfm2.5-350m
Kindle_Store_5,5.0,CG,"Love this book! Perfectly padded, engaging storyline, and perfect readability. Highly recommend!",lfm2.5-350m
Books_5,3.0,CG,"The story was engaging but the pacing felt uneven. The characters were well-developed, though the plot didn’t fully develop.",lfm2.5-350m
Electronics_5,4.0,CG,The camera works well but is a bit small and lacks battery life. I appreciate its quality but would need a spare battery.,lfm2.5-350m
Movies_and_TV_5,5.0,CG,"Perfect pick for my kids—engaging story, heartwarming moments, and great cinematography. Highly recommended!",lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,"Great board! Easy to use, durable, and lightweight. Worth every penny.",lfm2.5-350m
Home_and_Kitchen_5,4.0,CG,This container fits perfectly in my kitchen cabinet—covers everything without stealing space. Highly recommend!,lfm2.5-350m
Kindle_Store_5,2.0,CG,This book was a bit slow to download and had minor character inconsistencies—good luck with your reading!,lfm2.5-350m
Home_and_Kitchen_5,2.0,CG,"Great cookware, but the heat distribution was uneven. Not ideal for long cooking sessions.",lfm2.5-350m
Tools_and_Home_Improvement_5,2.0,CG,"The height of the ladder was slightly uneven, making it hard to climb straight up. Not ideal for beginners.",lfm2.5-350m
Kindle_Store_5,2.0,CG,I loved the deep insights on climate change but the pacing made it feel rushed. Highly recommend if you enjoy non-fiction.,lfm2.5-350m
Books_5,4.0,CG,"This cookbook is surprisingly easy to follow and has great recipes, but the illustrations were slightly low quality and some sections felt outdated. Overall, a solid pick for beginners.",lfm2.5-350m
Kindle_Store_5,5.0,CG,Perfectly written and engaging—ideal for fantasy lovers.,lfm2.5-350m
Books_5,5.0,CG,Love this book! The recipes are easy to follow and the variety keeps me engaged. Highly recommend!,lfm2.5-350m
Pet_Supplies_5,3.0,CG,"Noted for comfort and durability, but the price was a bit high. Would recommend for pets needing support.",lfm2.5-350m
Tools_and_Home_Improvement_5,5.0,CG,"A solid set of screws that held everything together perfectly, no leaks or loose fasteners. Highly recommend for DIY projects!",lfm2.5-350m
Toys_and_Games_5,5.0,CG,Perfectly stuffed with softness and comfort! The plush felt so cozy and snug against my chest. Highly recommend!,lfm2.5-350m
Electronics_5,1.0,CG,"This HDMI cable is barely functional—just works fine once plugged in and turned on, but it doesn’t work well with other devices.",lfm2.5-350m
Books_5,3.0,CG,"This book was easy to read and colorful, but the main character seemed slow to grow. Would recommend if you want a fun, kid-friendly story.",lfm2.5-350m
Electronics_5,5.0,CG,Great product—smooth charging and reliable performance. Highly recommend!,lfm2.5-350m
Movies_and_TV_5,5.0,CG,Perfect for a relaxed evening—great pacing and stellar performances.,lfm2.5-350m
Home_and_Kitchen_5,5.0,CG,Great vacuum for deep cleaning! Fast and effective. Highly recommended!,lfm2.5-350m
Home_and_Kitchen_5,4.0,CG,"The coffee maker works well but lacks a lid, making it hard to pour milk safely.",lfm2.5-350m
Pet_Supplies_5,3.0,CG,"This dog food is decent, but the filling isn't enough to sustain my pet through a long day.",lfm2.5-350m
Pet_Supplies_5,5.0,CG,The leash is comfortable and durable. It fits well without slipping.,lfm2.5-350m
Kindle_Store_5,4.0,CG,"The plot twist was intriguing but the characters were underdeveloped. Overall, I'd recommend it if you enjoy mystery novels.",lfm2.5-350m
Toys_and_Games_5,4.0,CG,"The remote controls were easy to set up, but the battery life was quite short. Overall, a solid purchase for basic fun.",lfm2.5-350m
Toys_and_Games_5,3.0,CG,This figure is small and lacks detail—good luck with your plans!,lfm2.5-350m
Clothing_Shoes_and_Jewelry_5,5.0,CG,Loved the sleek design and perfect fit! Would buy again for next purchase.,lfm2.5-350m
Home_and_Kitchen_5,3.0,CG,"Great for cooking and baking, but the texture isn't perfect. Need to adjust settings.",lfm2.5-350m
